,ADA,BCH,BTC,DOGE,ETH,LINK,LTC,MANA,XLM,XRP,SPXT,XCMP,USSOC,VIX
ADA,0,0.7740612351353758,0.756769270631792,0.6890623685735362,0.7685210110181393,0.760855035494474,0.7772195797319452,0.7000905602154885,0.8031580057440965,0.7511470019664163,0.39250357858056273,0.3756322912950281,0.8742548875798747,0.5763512550344395
BCH,0.7740612351353758,0,0.7837495051209018,0.6630285686533337,0.777152140587505,0.7350681539954889,0.8169025599664687,0.6289482297670608,0.7863249359370577,0.7301158168731546,0.38869824687963717,0.3720325316300769,0.872051422211246,0.5652844181530521
BTC,0.756769270631792,0.7837495051209018,0,0.6847630045763321,0.8434232890480309,0.7116158067783253,0.7781812814178195,0.6866463313547333,0.7559403219210241,0.7219950248599293,0.39676157513352434,0.3975268480089762,0.8810512840135322,0.5672533296949348
DOGE,0.6890623685735362,0.6630285686533337,0.6847630045763321,0,0.6830636275055688,0.5799384941367002,0.6703191388734268,0.5805400691526101,0.6476966547883005,0.6940201053551108,0.371879657767531,0.3646640536391738,0.8590282713476355,0.5134537991891528
ETH,0.7685210110181393,0.777152140587505,0.8434232890480309,0.6830636275055688,0,0.7607808239072258,0.8181370155181,0.6802473073941103,0.7605961216693814,0.7520794954772684,0.40149561137052103,0.39555226600227394,0.8563399876533584,0.5921801754504662
LINK,0.760855035494474,0.7350681539954889,0.7116158067783253,0.5799384941367002,0.7607808239072258,0,0.7094362766085262,0.6705779799791599,0.7383901062927559,0.6917778769482655,0.38438174579206774,0.3513171709934468,0.8648800219112054,0.523620201925894
LTC,0.7772195797319452,0.8169025599664687,0.7781812814178195,0.6703191388734268,0.8181370155181,0.7094362766085262,0,0.6082084344384429,0.759311234419205,0.7642241543581324,0.3874157958925333,0.37455435906484763,0.8629309140555731,0.5543660077366304
MANA,0.7000905602154885,0.6289482297670608,0.6866463313547333,0.5805400691526101,0.6802473073941103,0.6705779799791599,0.6082084344384429,0,0.6761899152564318,0.6722053632386208,0.3720215306058612,0.36355366619939533,0.8685000702775029,0.5264471811818634
XLM,0.8031580057440965,0.7863249359370577,0.7559403219210241,0.6476966547883005,0.7605961216693814,0.7383901062927559,0.759311234419205,0.6761899152564318,0,0.822046298721049,0.37802012064131246,0.3610796140677367,0.8716541056761802,0.5216175900610335
XRP,0.7511470019664163,0.7301158168731546,0.7219950248599293,0.6940201053551108,0.7520794954772684,0.6917778769482655,0.7642241543581324,0.6722053632386208,0.822046298721049,0,0.38375929406804377,0.3784102527668807,0.8578596284617344,0.5116071058575844
SPXT,0.39250357858056273,0.38869824687963717,0.39676157513352434,0.371879657767531,0.40149561137052103,0.38438174579206774,0.3874157958925333,0.3720215306058612,0.37802012064131246,0.38375929406804377,0,0.7464345018474743,1.1768163708228467,0.9613055456817547
XCMP,0.3756322912950281,0.3720325316300769,0.3975268480089762,0.3646640536391738,0.39555226600227394,0.3513171709934468,0.37455435906484763,0.36355366619939533,0.3610796140677367,0.3784102527668807,0.7464345018474743,0,1.1748972473638184,0.8686571233644246
USSOC,0.8742548875798747,0.872051422211246,0.8810512840135322,0.8590282713476355,0.8563399876533584,0.8648800219112054,0.8629309140555731,0.8685000702775029,0.8716541056761802,0.8578596284617344,1.1768163708228467,1.1748972473638184,0,1.151617060104715
VIX,0.5763512550344395,0.5652844181530521,0.5672533296949348,0.5134537991891528,0.5921801754504662,0.523620201925894,0.5543660077366304,0.5264471811818634,0.5216175900610335,0.5116071058575844,0.9613055456817547,0.8686571233644246,1.151617060104715,0
